PartNumber,Desc,SUnder,Supercession,SurchVal,RRP,Stklevel
LF1-116,WSL OXY SEN FLANGE  ,,                      ,,4.3300000000000001,Good
OEF1051,IGNITION LEAD SET   ,,                      ,,13.57,Good
OEF1049,IGNITION LEAD SET   ,,                      ,,13.710000000000001,Good
OEF1044,LEAD SET            ,,                      ,,7.9299999999999997,Good
OEK1042,LEADS SET           ,,                      ,,7.9299999999999997,Good
OEK1062,IGNITION LEAD SET   ,,                      ,,13.57,Good
10009,WSL IN-TANK FUEL PUM,,                      ,,44.640000000000001,Less than 5
10250,WSL EXHST FLEXI PIPE,,                      ,,8.9900000000000002,Less than 5
10254,WSL EXHST FLEXI PIPE,,                      ,,7.3300000000000001,Less than 5
10258,WSL EXHST FLEXI PIPE,,                      ,,8.4000000000000004,1 Left
10259,WSL EXHST FLEXI PIPE,,                      ,,8.9700000000000006,Less than 10
10261,WSL EXHST FLEXI PIPE,,                      ,,9.7899999999999991,1 Left
10290,WSL EXHST FLEXI PIPE,,                      ,,17.559999999999999,1 Left
11000,IGNITION COIL       ,,                      ,,28.969999999999999,Good
DLB100,IGNITION COIL       ,,                      ,,29.73,Good
CP463,IGNITION COIL       ,,                      ,,20.280000000000001,Good
IIS106,IGNITION COIL       ,,                      ,,28.969999999999999,Good
11010,IGNITION COIL       ,,                      ,,26.07,Good
DLB103,IGNITION COIL       ,,                      ,,27.370000000000001,Good
CP464,IGNITION COIL       ,,                      ,,18.25,Good
IIS161,IGNITION COIL       ,,                      ,,26.07,Good
11110,IGNITION COIL       ,,                      ,,18.07,Good
DLB110,IGNITION COIL       ,,                      ,,18.530000000000001,Good
IIS488,IGNITION COIL       ,,                      ,,18.07,Good
11020,IGNITION COIL       ,,                      ,,26.390000000000001,Good
DLB112,IGNITION COIL       ,,                      ,,27.710000000000001,Good
CP465,IGNITION COIL       ,,                      ,,18.469999999999999,Good
IIS419,IGNITION COIL       ,,                      ,,26.390000000000001,Good
11040,IGNITION COIL       ,,                      ,,14.9,Good
DLB101,IGNITION COIL       ,,                      ,,15.31,Good
CP466,IGNITION COIL       ,,                      ,,10.43,Good
